date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:11	386/386	---M--	200	added ('OK')	image/jpeg	etag:%22114c598f-182-4618e6de6d850%22	http://jquery.jarodxxx.com/images/bodyarea1_bg.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/bodyarea1_bg.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:12	459/459	---M--	200	added ('OK')	image/png	etag:%221154604d-1cb-4618e6e4943a0%22	http://jquery.jarodxxx.com/images/menu_inner_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu_inner_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:12	431/431	---M--	200	added ('OK')	image/png	etag:%221154604c-1af-4618e6e44afc0%22	http://jquery.jarodxxx.com/images/menu_inner_01.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu_inner_01.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:12	683/683	---M--	200	added ('OK')	image/png	etag:%2211546059-2ab-4618e6e650900%22	http://jquery.jarodxxx.com/images/readmore.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/readmore.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:12	678/678	---M--	200	added ('OK')	image/png	etag:%221154605a-2a6-4618e6e668fa0%22	http://jquery.jarodxxx.com/images/readmore1.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/readmore1.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:12	935/935	---M--	200	added ('OK')	image/png	etag:%2211545d36-3a7-4618e6e186fa0%22	http://jquery.jarodxxx.com/images/loginbg.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/loginbg.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:13	1362/1362	---M--	200	added ('OK')	image/png	etag:%2211545d3a-552-4618e6e293880%22	http://jquery.jarodxxx.com/images/login_head.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/login_head.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:13	415/415	---M--	200	added ('OK')	image/png	etag:%2211545d3b-19f-4618e6e29adb0%22	http://jquery.jarodxxx.com/images/login_buttons_01.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/login_buttons_01.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:13	566/566	---M--	200	added ('OK')	image/png	etag:%2211545d37-236-4618e6e1b55d0%22	http://jquery.jarodxxx.com/images/login_buttons1_01.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/login_buttons1_01.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:13	462/462	---M--	200	added ('OK')	image/png	etag:%2211545d39-1ce-4618e6e22f6f0%22	http://jquery.jarodxxx.com/images/login_buttons_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/login_buttons_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:14	420/420	---M--	200	added ('OK')	image/png	etag:%2211545d38-1a4-4618e6e1d2a90%22	http://jquery.jarodxxx.com/images/login_buttons1_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/login_buttons1_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:14	733/733	---M--	200	added ('OK')	image/png	etag:%22114c5991-2dd-4618e6ded40f0%22	http://jquery.jarodxxx.com/images/call.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/call.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:14	1395/1395	---M--	200	added ('OK')	image/png	etag:%22114c5990-573-4618e6deb9340%22	http://jquery.jarodxxx.com/images/bookmark.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/bookmark.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:14	6653/6653	---M--	200	added ('OK')	image/png	etag:%22114c5992-19fd-4618e6df38280%22	http://jquery.jarodxxx.com/images/facing.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/facing.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:14	335/335	---M--	200	added ('OK')	image/jpeg	etag:%22114c5993-14f-4618e6df3f7b0%22	http://jquery.jarodxxx.com/images/fotter_bg.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/fotter_bg.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:15	478/478	---M--	200	added ('OK')	image/png	etag:%22114c5994-1de-4618e6df81660%22	http://jquery.jarodxxx.com/images/fotter_validation.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/fotter_validation.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:15	474/474	---M--	200	added ('OK')	image/png	etag:%22114c5995-1da-4618e6dfa1230%22	http://jquery.jarodxxx.com/images/fotter_validation1.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/fotter_validation1.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:16	21692/21692	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:18%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:17	30549/30549	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:19%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/Aliasse-par/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/Aliasse-par/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:17	336/336	---M--	200	added ('OK')	image/gif	etag:%22116c0ddc-150-4623e4612e00c%22	http://jquery.jarodxxx.com/images/snook.gif	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/snook.gif	(from http://jquery.jarodxxx.com/manuel/)
15:07:18	23728/23728	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:20%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/context/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/context/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:19	26972/26972	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:21%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/data/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/data/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:19	4709/4709	---M--	200	added ('OK')	image/png	etag:%2211567dbd-1265-462185c4c33fe%22	http://jquery.jarodxxx.com/images/idea.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/idea.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:20	25785/25785	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:22%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/each/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/each/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:20	584/584	---M--	200	added ('OK')	image/gif	etag:%222a2994-248-462b962574697%22	http://jquery.jarodxxx.com/demo/each/bravo.gif	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/demo/each/bravo.gif	(from http://jquery.jarodxxx.com/manuel/)
15:07:20	456/456	---M--	200	added ('OK')	image/gif	etag:%222c6cc3-1c8-462b97318d397%22	http://jquery.jarodxxx.com/demo/each/ronfle.gif	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/demo/each/ronfle.gif	(from http://jquery.jarodxxx.com/manuel/)
15:07:21	22403/22403	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:24%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/eq/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/eq/index.html	(from http://jquery.jarodxxx.com/manuel/)
15:07:22	23160/23160	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202011%2014:07:25%20GMT	http://jquery.jarodxxx.com/manuel/Les-fonctions-de-base/get/	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/manuel/Les-fonctions-de-base/get/index.html	(from http://jquery.jarodxxx.com/manuel/)
